Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Real World Illustrator 8 (2nd Edition);By McClelland, Deke and McClelland, Daniel;A thorough reference to design and production techniques using the popular graphics software. Organized in four parts--starting, creating, changing, and coloring--it covers the simple to the complex in extensive detail. Annotation c. by Book News, Inc., Portland, Or.; Computers , Computer Graphics;Peachpit Pr;8.93;November;1998
Machine Embroidery (The Potter Needlework Library);By Burgess, Linda (PHT), Carter, Clare, and Clare, Carter;"With Machine Embroidery; anyone can learn to use a simple zigzag sewing machine to create beautiful decorative stitching. Step-by-step instructions demonstrate the many effects possible with machine embroidery, from basic straight stitches to exciting free-motion embroidery. Detailed projects include a lovely quilted bedspread, a silk lampshade, and a charming fairy doll, with helpful illustrations and gorgeous color photographs to guide and inspire even novice embroiderers."; Crafts & Hobbies , Needlework , Embroidery;Potter Craft;5.29;May;1996
Dressed to Grill: Savvy Recipes for Girls Who Play with Fire;By Morgan, Diane, Brooks, Karen, Darmon, Reed, and Adams, Beth (ILT);Women take back the light! Finally, a grilling cookbook that puts gals in charge of the coals. Dressed to Grill is certain to appeal to the way women cook today: fast and furious, with, of course, a healthy nod to low-fat ingredients. Heres every aspect of modern grilling girl-dom-from Animal Magnetism Steak for that hot date to How Could I Be Sarong if the romance goes sour. Toss in some wild drinks and a chapter with tips on how to light a grill, what charcoal to buy, as well as what types of wood work best for smoking, and girls everywhere will be declaring their grilling independence.; Cooking , Methods , Outdoor;Chronicle Books;5.29;March;2002
Motherhood: The Second Oldest Profession;By Bombeck, Erma;; Social Science , General;McGraw-Hill;4.99;October;1983
Shadow Money;By Effinger, George Alec;While attending college in Michigan, van Eyck concocts a plan to get rich quick by stealing computer tapes containing the payrolls of the three major auto companies and ransoming them back during labor negotiations; Fiction , General;Tor Books;32.95;March;1988
The Book of the Month: Sixty Years of Books in American Life;By Silverman, Al (EDT);"Includes the best reviews, essays, and articles of the Club's ""News,"" including pieces by Heywood Brown, Maxwell Perkins, John Gunther, Robert Penn Warren, and Barbara Tuchman"; Literary Criticism , General;Little Brown;4.99;August;1986
The New Grove Second Viennese School: Schoenberg, Webern, Berg;By Griffiths, Paul, Neighbour, Oliver, and Perle, George;; Music , Genres & Styles , Classical;W W Norton & Co Inc;5.29;September;1983
F. Scott Fitzgerald (Literary Lives);By Mizener, Arthur;"The unending fascination of F. Scott Fitzgerald lies partly in the fact that his tragic life was like the plots of his own novels. Many famous and brilliant writers have led withdrawn, prosaic, uneventful lives; but Fitzgerald and his wife, Zelda, existed almost wholly in the real, external world--active, social, sadly typical of that frantic time in which he experienced instant success and fame, followed by a long decline and failure. Arthur Mizener is well known as the author of the first full-scale biography of Fitzgerald. In this book, Professor Mizener looks at the facts of Fitzgerald's short life, offering insights into the subtle way in which actual events were transformed and woven into the novels. With the aid of contemporary photographs from all stages of Fitzgerald's career he tells the human story and provides an important assessment of Fitzgerald's achievement."; Biography & Autobiography , Literary;Thames & Hudson;4.99;June;1987
The Research Universities and Their Patrons;By Rosenzweig, Robert M.;America's research universities--some fifty leading intellectual centers--have assumed a unique set of responsibilities. In addition to educating undergraduates, they house most of the nation's basic research and train virtually all new scientists and scholars. The health of these institutions is critical to the nation's intellectual life as well as to its economic well-being, military posture, and foreign policy. Robert Rosenzweig, reporting on a project sponsored by the Association of American Universities, examines the core functions of the research universities and explores how they might best relate to their powerful patrons: the national government, foundations, business, and industry.; Social Science , Sociology , General;University of California Press;4.99;October;1982
Sams' Teach Yourself Upgrading and Fixing PCs in 24 Hours (Teach Yourself in 24 Hours Series);By Grimes, Galen;Presenting a quick, easy, and effective approach to PC care, this basic handbook discusses the various system components and how they work, the art of troubleshooting, replacing versus upgrading, sound system components, communications devices, and more. Original. (Beginner).; Computers , Hardware , Personal Computers , PCs;Sams;5.39;September;1998
8-Color Country Cross-Stitch;By Stevenson, Sarah;; Crafts & Hobbies , Sewing;Sterling Pub Co Inc;4.99;December;1899
Living With Cannibals And Other Womens Adventures;By Slung, Michele and Lindbergh, Reeve (INT);"The spirit of adventure sweeps through the chapters of this exciting volume as we encounter the inspiring, sometimes tragic, often humorous tales of adventurous women -- from the 18th century to the 21st century.  Selected from National Geographic's rich archives, this colorful group portrait pairs female adventurers of the past with their contemporary counterparts -- in a ""then and now"" approach.  You'll meet Arctic explorers -- an American heiress who crisscrossed ice fields seven decades ago, along with a celebrated New Zealander who skied alone to both North and South Poles in the 1990s. You'll also join in the atmospheric exploits of Shannon Lucid and Amelia Earhart as they take off on those daring flights that wrote a new pages in the annals of aviation.  Tour the world with women who defied Victorian convention to venture alone among the headhunters of Borneo or to see first hand the hidden corners of Africa, India, and Japan. Witness world record-breaking moments by such latterday legends as Sylvia Earle, whose explorations of the ocean floor earned her the nickname, ""Her Royal Deepness,"" and Catherine Destivelle, the beautiful French superstar of modern mountaineering.  Featuring photographs, art, and period illustrations, as well as an introduction by Reeve Lindbergh and a 1,500-year time line of women's adventuring, Living With Cannibals offers vivid testimony to the wanderlust, daring, and determination of these intrepid journeyers.  Whether kayaking remote Tibetan rivers or bottle-feeding baby orangutans, bicycling to India or battling icebergs off the coast of Greenland, each woman profiled here demonstrates her unswerving devotion to a dream."; Travel , Special Interest , Adventure;National Geographic;5.29;July;2000
A Time of Our Choosing: America's War in Iraq;By Purdum, Todd S.;The authoritative account of America’s most controversial war since Vietnam, a conflict in which “shock and awe” were not confined to the battlefield It was a war like no other the United States had ever fought. It began with the bombing of Saddam Hussein’s bunker and ended with statues of the Iraqi dictator being toppled in downtown Baghdad, and it marked a turning point in America’s relations with its enemies, its allies, and its sense of itself. Yet most Americans experienced the war as impressionistic and often confusing—the story of one battle here, one unit there, a report from one city, then another, without the larger context we so urgently needed. Each reporter had his “slice” of the war, it seemed, but no one had the whole story or the broad view.A Time of Our Choosing fills that gap brilliantly, drawing on the unparalleled resources and reportage of The New York Times. Todd S. Purdum, one of the paper’s most gifted storytellers, traces the war in Iraq from the first rumblings after 9/11, to the diplomatic recriminations at the United Nations, to the battles themselves and their aftermath. He deftly rolls out the whole canvas before our eyes, showing how the individual “slices” fit together into a single, gripping drama.Purdum also explores the complex legacy of America’s near-unilateral action. Since the 9/11 attacks, President George W. Bush has vowed that the United States would confront its enemies “at a time of our choosing,” and Purdum shows in vivid terms what this choice has meant for our now transformed world.;History , Military , Iraq War (2003-2011);Times Books;5.47;November;2003
Rewriting History;By Morris, Dick and McGann, Eileen;"Now, for the first time, Fox News political analyst and former Clinton adviser Dick Morris turns his sharp-eyed gaze on Hillary, the longtime First Lady, current New York senator, and bestselling author. For, as he argues, no politician in America today is better aligned to become president in 2008—and none would bring more baggage to the White House—than Mrs. Clinton. In Rewriting History, Morris draws on his own long working relationship with the Clintons, as well as his trademark deep research and candid, nonpartisan analysis, to create a rebuttal to Hillary's bestselling autobiography, Living History. Morris documents how Hillary hides her true self behind a ""Hillary"" brand that is chatty, charming, giggly, and warm—but is far from her true personality.In Rewriting History, Morris pierces the mask to get at the truth behind the distortions and omissions of Hillary's memoir. Here we meet the real Hillary, both good and bad: the manager who makes the trains run on time, but also the paranoid who sees all those who disagree with her as personal enemies; the idealist, but also the ""advice addict"" easily misled by the guru of the moment. Morris describes Hillary's sense of entitlement, and warns that it may lead deep into financial scandal. And he demonstrates how Hillary dodges criticism by pretending that every attack is directed not just at her, but at every working woman in America. Ultimately, Morris argues, the Hillary Clinton of today is marketing a false front, obscuring both her wants and her assets behind the phony facade of a domestic Everywoman. But as she pursues higher office, she also faces a choice. Will she, like Bobby Kennedy, see the error of her ruthless ways, and embrace the sincere idealism she professes? Or, like Richard Nixon, will she allow the darker angels of her nature to overcome her, jeopardizing herself and the country in the process?As Rewriting History suggests, we can only hope that Hillary Clinton's past performance is no guarantee of future results."; Political Science , Political Process , General;Harper;10.75;May;2004
A journey through Oz: The business leaders road map to tracking information technology assets;By Jesse, Chris;;;Research Triangle Pub;4.99;January;1996
Girls! Girls! Girls!:  Essays on Women and Music;By Cooper, Sarah (EDT);In recent years, much attention has been lavished on the New Women of rap and rock. From rap stars such as Queen Latifah to bands such as Velocity Girls, popular music has been aggressively redefined by a new generation of women, with a startling range of musical styles. Yet, women's role in contemporary music, and in music history, extends far beyond MTV or the latest riot grrrl troupe. In Girls! Girls! Girls!, Sarah Cooper has assembled a broad- ranging collection of essays to provide an entertaining and impressionistic portrait of women and music. Whether in the form of Helen Kolawole's discussion of the bitch- bashing misogyny of gangsta rap or Caroline Sullivan's exuberant assessment of women rock critics, the volume raises, and addresses, some of the most provocative and challenging issues concerning women's active involvement in and relationship to music. From indie labels to opera queens, from symphony orchestra to salsa queen, from swing to women's music in South Asia to the confessions of a British country music fan, Girls! Girls! Girls! has something for everyone, music critics, feminists, and fans alike.; Social Science , Popular Culture;NYU Press;4.99;January;1996
The Soul of Golf;By Hallberg, William;One hot summer morning, William Hallberg, author of The Rub of the Green, set off on an odyssey across the United States to penetrate - and illuminate - the soul of golf. No course was too grand, no driving range too humble for a stop on Hallberg's unpredictable tour of America's verdant and not-so-verdant golf venues. He tackled Kiawah Island's diabolical and breathtaking Ocean Course with a party of well-heeled Southern gents. He tromped through sagebrush roughs and kikuyu bunkers in the Nevada outback. He encountered the ghost of a cherished golfing buddy during a memorable round in the Smokies. And between games he nursed his wounds, pondered his constantly mutating handicap, and commiserated with fellow golfers in dusky sports bars, greasy spoons, and rain-soaked motel parking lots.The Soul of Golf will make you laugh out loud, swallow hard in the face of painful truths, and ultimately head yet again for your favorite golf course, where fate lies in ambush.; Sports & Recreation , Golf;Fawcett;4.99;April;1997
Surviving Schizophrenia: A Family Manual;By Torrey, E. Fuller;;;Perennial (HarperCollins);5.29;March;1988
Restoring Hope: Conversations on the Future of Black America;By West, Cornel and Sealey, Kelvin Shawn;Nine of America's most influential artists, scholars, and public figures Harry Belafonte, Bill Bradley, Charlayne Hunter-Gault, The Reverend Dr. James A Forbes, Jr., and the Reverend Dr. James M. Washington, Wynton Marsalis, Patricia Williams, Haki Madhubuti, and Maya Angelou discuss the sources of hope among African Americans with scholar, theologian, and activist West. Annotation c. by Book News, Inc., Portland, Or.; Social Science , Ethnic Studies , African American Studies;Beacon Pr;5.29;October;1997
Sidelines: Behind the Scenes of America's Favorite Sport;By Higgs, Ben;;;Cadmus Fine Books;10.99;November;1992
Love Awaits: African-American Women Talk about Sex, Love, and Life;By Long, Courtney;Love. Sex. Respect. Race. Politics. Unity. Spirituality. Cultural pride. These are some of the concerns expressed by twenty-six African American women in interviews with filmmaker-writer Courtney Long about what they wish for in African American men. And these issues are only part of the main concern shared by these women: that the gap between black men and women is widening into a chasm. The straight-talking sisters in Love Awaits discuss their brothers in the hope that they are taking the first step toward building a bridge of mutual understanding, unity, and peace - and creating a common ground for love and relationship.Arranged by topic, these interviews on love, sex, and growing up in the African American culture examine with honesty and raw energy the positive and negative aspects of relations between black women and men. They explore sources of pain and of healing between the sexes, obstacles to relating and new ways of being together. Candidly expressing her needs, desires, and expectations, each woman brings her own unique experiences, viewpoint, and personality to the discussion, weaving her own strand into the vibrant tapestry of the African American experience.; Social Science , LGBT Studies , Lesbian Studies;Bantam;4.99;January;1995
Italian Days;By Harrison, Barbara Grizzuti;This book is a journey down the Italian peninsula that will make even the most experienced traveler relive its splendor anew. Harrison offers a fascinating mixture of Italian history, politics, folklore, food, architecture, art, and literature.; Travel , Essays & Travelogues;Ticknor & Fields;5.64;September;1990
A Romance of the Equator: The Best Fantasy Stories of Brian W. Aldiss;By Aldiss, Brian Wilson;"A collection of fantasy stories, including ""Old Hundredth,"" ""The Girl Who Sang,"" ""The Source,"" ""Bill Carter Takes Over,"" and more"; Fiction , Science Fiction , General;Atheneum;29.29;March;1990
China After Mao (Princeton Legacy Library);By Barnett, A. Doak (EDT);"One of America's leading authorities on China outlines and assesses the implications of the inevitable passing of Mao Tse-tung and the older generation of revolutionary leaders from their position of command in China. Describing the mid-1960’s as ""a transitional period of great historic significance,"" the author outlines the basic unsolved problems and unresolved issues that face Peking’s leaders, speculates on future changes in Chinese Communist leadership and policies. Part Il of the book presents documents pertinent to the developing crisis in China, including “Khrushchev’s Phoney Communism,” Lin Piao’s “Long Live the Victory of the People’s War,” and “Great Cultural Revolution.” China After Mao is based on the Walter E. Edge lectures given at Princeton University in October 1966.Originally published in 1967.The Princeton Legacy Library uses the latest print-on-demand technology to again make available previously out-of-print books from the distinguished backlist of Princeton University Press. These editions preserve the original texts of these important books while presenting them in durable paperback and hardcover editions. The goal of the Princeton Legacy Library is to vastly increase access to the rich scholarly heritage found in the thousands of books published by Princeton University Press since its founding in 1905."; History , General;Princeton University Press;4.99;February;1967
Universal Foam: From Cappuccino to the Cosmos;By Perkowitz, Sidney;Perkowitz (physics, Emory U.) provides a breezy but strangely captivating discussion of the many kinds of naturally-occurring and artificial foams that play important roles in our lives, from the delicious  crema  on top of a fine espresso to the aerogel foam used by NASA to retrieve bits of comets. Annotation c. Book News, Inc., Portland, OR (booknews.com); Science , Physics;Walker & Co;5.29;May;2000
The Leading Edge;By Boyne, Walter J.;Charts the evolutionary course of aviation history by highlighting in detail the most important inventions and pivotal developments along with their creators; Transportation , Aviation , History;Stewart Tabori & Chang;9.89;September;1986
John Clancy's Christmas Cookbook;By Clancy, John;; Cooking , General;Hearst Books;5.29;February;1986
Classics of Jewish Literature;By Lieberman, Leo and Beringause, Arthur F.;; Language Arts & Disciplines , Rhetoric;Castle;9.89;September;1988
Star Attraction Bulletin Boards (Troll Teacher Ideas);By Rutmand, Shereen Gertel;; Education , Teaching Methods & Materials , General;Troll Communications Llc;5.29;July;1994
Vocabulary Development: Grade 6 (Basics First);By Vicky Shiotsu;;;Frank Schaffer Publications;4.99;January;1997
West With The Night;By Markham, Beryl;Describes growing up in an Africa that no longer exists, training and breeding race horses, flying mail to Sudan, and being the first woman to fly the Atlantic, east to west; Technology & Engineering , Aeronautics & Astronautics;North Point Press;4.99;January;1983
Student Success Secrets (Barron's Educational Series);By Jensen, Eric and McPherson, Charles (ILT);Offers practical suggestions for developing good study habits, reading more quickly and efficiently, taking useful notes, improving one's vocabulary, writing successful papers, and preparing for tests;;Barron's Educational Series, inc;5.29;January;1989
Dragons Teeth;By Young, John Robert;Briefly looks at the history of China and its army, describes the people, facilities and equipment of China's modern army, and discusses the training and daily life of Chinese soldiers; Political Science , General;Crown;6.6;February;1988
I Feel Great and You Will Too!: An Inspiring Journey of Success with Practical Tips on How to Score Big in Life;By Cosby, Bill (FRW), Croce, Pat, and Lyon, Bill;"Let the irrepressible president of the Philadelphia 76ers show you how to succeed in this invaluable blueprint for business and life.  A pioneer in the sports physical therapy industry, Pat Croce went from the training room to the boardroom in one of the most unlikely stories in sports history -- a classic rags-to-riches tale made possible by his indestructible positive attitude. With the same unstoppable character that has made him a favorite motivational speaker of Fortune 500 executives, Croce recounts the moments that taught him to strive for and achieve greatness.  But I Feel Great and You Will Too! is more than just the story of one man's remarkable journey. Throughout this moving, often hilarious, and always brutally honest book, Croce hits you with pointers on goal setting, communication, creative thinking, desire, dedication, and much more. Croce also includes his ""Ten Commandments of Customer Service,"" the same guidelines he used to become one of the most successful entrepreneurs in the sports industry."; Business & Economics , Motivational;Touchstone;4.99;October;2001
How Is My Second Grader Doing In School? What to Expect and How to Help;By Raymer, Dottie, Jacobson, Jennifer, and Parent-Teacher Advisory Board (COR);"As the parent of a second grader, you may be asking yourself:  When will my child learn to spell? Why isn't my child bringing home math papers? What can I do to make sure my child knows everything he should?  Perhaps you've been told by your child's teacher that your second grader is doing fine. But what does ""fine"" really mean, and how can you be sure that your child's academic growth will continue?  Be your child's best teacher. Find out what your child knows, what your child needs to know, and how to work with your child to ensure success in school.  Inside, there is a wealth of fun, easy-to-do activities designed to teach your child important skills. The time you spend together will foster a love of learning that will remain with your child in the years to come."; Education , Testing & Measurement;Fireside;5.29;October;1999
How to Get a Business Loan;By Mancuso, Joseph R.;; Business & Economics , General;Touchstone;5.29;April;1990
Why Me?: Coping With Grief, Loss and Change;By Krauss, Pesach;The authors discuss life's times of sadness, grief, fear, anger and how even in the most difficult of times people can call upon inner strength, dignity, and the love of others to find meaning; Religion , General;Bantam;5.29;November;1988
The Snake-stone;By Doherty, Berlie;;;Hamish Hamilton Ltd;5.29;May;1995
Empowering Technology: Implementing a U.S. Strategy;By Branscomb, Lewis M. (EDT);"Technology policy - whether we should have one and what form such a policy should take - was a core issue of the 1992 presidential campaign, and in February 1993 the Clinton administration confirmed that fostering new technologies will be a critical part of its agenda for redirecting the American economy. To help orient the inevitable debates on this agenda, experts from Harvard's Center for Science and International Affairs here examine a set of key issues and problems that, taken together, define the scope and limits of such a policy.Among the topics discussed are the new relationship between federal and state governments implied by the administration's proposals, the usefulness of the concept of ""critical technologies"" for setting priorities, the creation of new missions for the national laboratories (particularly the three weapons laboratories), the changing nature of the social contract between the government and research universities, the problems that will confront the creation of a national information infrastruc­ture, the best ways to promote small- ­and medium-sized ""driver"" companies as well as civilian research and development generally, and the relationship between education and the requirements for work in the twenty-first century.Lewis M. Branscomb is Albert Pratt Public Service Professor and Director of the Science, Technology, and Public Policy Program at the Center for Science and International Affairs, Harvard University."; Technology & Engineering , Social Aspects;The MIT Press;5.29;June;1993
The Runaway: A Novel;By Kay, Terry;Tom and Son Jesus spend their days dreaming, fishing , and trying to escape work.  But their fun comes to an abrupt halt when they discover a human bone, which later turns out to be part of the skeletal remains of Son Jesus' long missing father.  As sheriff Frank Rucker, a World War II hero, begins an investigation into remains, he unmasks the racially motivated killer known only as Pegleg.  The sheriff's findings divide the people of Overton County, forcing a surprising conclusion --or beginning of justice.Set in the 1940's and using the relationships of two boys -- one black and the other white -- as a  springboard for the begining of desegregation in the South, The Runaway examines the joys, sorrows, conflicts, and racial disharmony of their historical biased environment.; Fiction , African American , Historical;Harper Perennial;4.99;December;2000
Remediating Reading Disabilities: Simple Things That Work;By Cook, Jimmie;; Language Arts & Disciplines , General;Aspen Pub;7.49;June;1980
The White-Flower-Farm garden book;By Pettingill, Amos;;;Knopf;5.29;January;1971
Sky Woman Falling;By Mitchell, Kirk;FBI Special Agent Anna Turnipseed, a Modoc Indian from California, and Bureau of Indian Affairs Investigator Emmett Parker, a Comanche from Oklahoma, are a team, sent by the feds wherever there are problems in tribal territory.Their latest assignment takes them to the Oneida lands in upstate New York where Brenda Two Kettles, an elder of the Oneida Tribe, has been found dead in a cornfield, every major bone in her body shattered. She seems to have fallen from the sky, like Sky Woman of the Oneida creation myth. When Anna and Emmett discover that Brenda was at the center of a bitter land dispute between Indians and white settlers who have lived on the land for many generations, they are sure she was murdered. Their investigation takes them to the edge of a simmering cauldron. Flag-waving whites are picketing the Turning Stone Casino and other Oneida-owned businesses. Indians are cruising with guns in their cars. Added to the dangers of race war is the presence of all the money-grubbing interests drawn to a lucrative casino. As their pool of suspects - of all colors - grows, Anna and Emmett's own lives depend on Anna's instincts, and her ability to see the line where myth and reality come together.; Fiction , Mystery & Detective , Hard-Boiled;Berkley Hardcover;5.29;November;2003
Art of the Gold Rush;By National Museum of American Art (U. S.) (COR), Driesbach, Janice Tolhurst, Jones, Harvey, Holland, Katherine Church, Oakland Museum (COR), and Crocker Art Museum (COR);The California Gold Rush captured the get-rich dreams of people around the world more completely than almost any event in American history. This catalog, published in celebration of the sesquicentennial of the 1848 discovery of gold at Sutter's Mill, shows the vitality of the arts in the Golden State during the latter nineteenth century and documents the dramatic impact of the Gold Rush on the American imagination.Among the throngs of gold-seekers in California were artists, many self-taught, others formally trained, and their arrival produced an outpouring of artistic works that provide insights into Gold Rush events, personages, and attitudes. The best-known painting of the Gold Rush era, C.C. Nahl's Sunday Morning in the Mines (1872), was created nearly two decades after gold fever had subsided. By then the Gold Rush's mythic qualities were well established, and new allegories—particularly the American belief in the rewards of hard work and enterprise—can be seen on Nahl's canvas. Other works added to the image of California as a destination for ambitious dreamers, an image that prevails to this day. In bringing together a range of art and archival material such as artists' diaries and contemporary newspaper articles, The Art of the Gold Rush broadens our understanding of American culture during a memorable period in the nation's history.; Art , Folk & Outsider Art;University of California Press;4.99;April;1998
The Birdcage Book: Antique Birdcages for Contemporary Collector;By Garisto, Leslie;Describes and illustrates birdcages made from wood, wire, wicker, and other materials, in a variety of styles ranging from simple to ornate; Antiques & Collectibles , General;Simon & Schuster;4.99;April;1992
The Argument Culture: Moving from Debate to Dialogue;By Tannen, Deborah;The author of You Just Don't Understand decries the state of public discourse in America, showing how it operates as a debate between false extremes rather than a dialogue in pursuit of complex truths. 75,000 first printing. Tour.; Psychology , Interpersonal Relations;Random House;4.99;February;1998
Lincoln and Slavery;By Burchard, Peter;"Why did Abraham Lincoln approve of compromises over slavery?  How could he have thought that most black Americans would accept voluntary segregation as the way to freedom?  Why, in spite of Lincoln's shortcomings, did the black leader Frederick Douglass think that the president's accomplishments were more remarkable than those of the founding fathers?  In providing at least partial answers to these questions, Lincoln and Slavery gives us a fresh look at a subject often shadowed by misinformation.  Here, we follow the young Lincoln as he takes an interest in the law and becomes a legislator. In a series of debates with his political opponent Stephen Douglas, we hear Lincoln argue forcefully that slavery, if allowed to spread, would destroy democracy.  As Lincoln and Slavery focuses on Lincoln's years as president, we see him work on the Emancipation Proclamation -- which changed the purpose of the Civil War and welcomed black men into military service. We go with him to Gettysburg, where he reaffirms ""the proposition that all men are created equal."" We listen to him, only weeks before his death, as he proclaims that the Union armies will keep fighting ""until every drop of blood drawn with the lash, shall be paid for by another drawn with the sword.""  This is the story of a great American, a man who hated slavery and believed, above all else, that democracy was the best hope for humankind -- in his time and in all the years to come."; Young Adult Fiction , Historical , United States , General;Atheneum Books for Young Readers;5.3;June;1999
Biology: Evolution, Diversity...;By Mader;;;BROWN, W.C., COMPANY;8.77;January;1985
William Faulkner: First Encounters;By Brooks, Cleanth;"In this clear-sighted and enjoyable book, Cleanth Brooks, acknowledged to be ""the best critic of our best novelist,"" introduces the general reader to Faulkner&#39;s most important novels and stories: The Sound and the Fury; As I lay Dying; The Hamlet; Go Down, Moses; Light in August; and Absalom, Absalom!  Brooks focuses on theme, character, and plot as well as on Faulkner&#39;s world—the fictional Yoknapatawpha County that provides a unique setting for Faulkner&#39;s tragicomic vision."; Literary Criticism , American , General;Yale University Press;4.99;September;1985
Feminism and Psychoanalytic Theory;By Chodorow, Nancy J.;"In this long-awaited book, a leading psychoanalytic feminist traces the development of her views on the psychodynamics, sociology, and culture of gender. Expanding upon her pathbreaking work in The Reproduction of Mothering and combining significant new writings with previously published essays, Nancy J. Chodorow elucidates how the unconscious awareness of self and gender we develop from earliest infancy continues to shape both our experience as men and women and the patterns of inequality and difference that exist throughout our society and culture. ""Chodorow is an exceptionally intelligent and serious writer, and her contribution to the debate on gender and sexual identity is substantial. . . . Through her deepening reflections on gender issues and her study of the reality of women's lives, Ms. Chodorow puts both Freud and feminism to the test.""—Stuart Schneiderman, New York Times Book Review ""In [a book] teeming with ideas, Chodorow . . . explores issues such as the influence of maternal care on the emerging self, social oppression of women on the basis of presumed gender differences, Oedipal conglict, heterosexual identification, and women analysts.""—Publishers Weekly ""These essays are as good a statement of the issues in feminist psychoanalysis or psychoanalytic feminism as I have seen, reflecting the knowledge and questions of an 'insider' in both areas. One is impressed by the richness of the implications drawn from observed constellations or relationships. This is book that should be of interest to a wide audience.""—Malkah T. Notman, M.D., Journal of the American Psychoanalytic Association ""All readers will profit from reading all of the articles in historical sequence. Her own changes reflect some general trends in feminist and social science thought.""—Miriam M. Johnson, Contemporary Sociology"; Social Science , Feminism & Feminist Theory;Yale University Press;5.29;July;1991
Moral Freedom: The Search for Virtue in a World of Choice;By Wolfe, Alan;How Americans describe their guiding principles in an exhilarating and unnerving new era of moral freedom. What is the difference between right and wrong? What does it mean to lead a good life? How binding is the marriage vow? What are your obligations to an employer? To your friends? To yourself? Is it always immoral to tell a lie? Eminent sociologist and public intellectual Alan Wolfe asked Americans around the country such questions in order to determine how we really think about morality today. Wolfe discovered that while values have changed, they are far from absent. Americans of all stripesfrom the most radical to the most traditionalwant to lead a good life, but in almost every case they are determined to decide for themselves what a good life means. Focusing on traditional virtues of loyalty, honesty, self-restraint, and forgiveness, Moral Freedom reveals the complexities of living in a society where rather than simply accepting strict conventions, each individual struggles to forge a moral life.; Philosophy , Ethics & Moral Philosophy;W W Norton & Co Inc;5.29;April;2001
Western Junior League Cookbook;By Seranne, Ann;Thirty-three Junior Leagues in the western United States, Canada, and Mexico share traditional and original recipes in a unique blend of many cuisines--including Mexican, Spanish, Oriental, Italian, German, English, Portuguese, French, and Basque; Cooking , Regional & Ethnic , American , Western States;Random House Value Publishing;5.08;July;1988
Charles: The untold story;By Benson, Ross;;;V. Gollancz;5.54;January;1993
Better Homes and Gardens Household Hints and Tips;By Better Homes and Gardens Books;Recommends ways to prepare and serve food, tend the house and its contents, care for children and pets, and secure health and safety; House & Home , General;Better Homes & Gardens Books;10.99;September;1990
Some Times in America;By Chancellor, Alexander;"Brimming with gossip and humor, with minor tempests and huge embarrassments, this charming memoir of a modest Englishman's encounters with stateside culture in the fast lanes of Washington, D.C. and New York City wittily casts contemporary America in a revelatory, fresh, amusing light.While Chancellor's experiences with power and peril among the politically and socially elite in the American capital have provided him with an abundance of lively anecdotes, they did not prepare him for life at the New Yorker, where at the unanticipated bidding of Tina Brown he assumed the monocle of the magazine's famous top-halted mascot, Eustance Tilly, and edited ""The Talk of the Town"" - not always to flattering consequences. Under no other circumstances, however, could he have so intimately witnessed, or shared, the often exciting and frequently astonishing drama of Tina Brown's high-profile command at one of America's most august institutions."; Biography & Autobiography , Literary;Carroll & Graf Pub;4.99;January;2000
Christmas Treasures: Christmas Cookies;By Hale, Gloria (EDT);Presents recipes for a variety of cookies including Christmas wreathes, gingerbread people and things, and miniature fruitcakes; Cooking , Courses & Dishes , Cookies;Random House Value Publishing;4.99;August;1990
The Perfect Christmas;By Magruder, Anne (EDT);With this book in hand anyone who wishes to create a storybook holiday season with the least fuss and expense will find it easy to deck the halls with energy and skill.; Cooking , Holiday;Anness;5.29;October;1998
Making Cents: Every Kid's Guide to Money : How to Make It, What to Do With It;By Wilkinson, Elizabeth;Filled with interesting facts about money and includes a number of money-making ideas for young would-be entrepreneurs; Juvenile Nonfiction , General;Little Brown & Co;5.29;December;1989
Phonics 2: Sound Patterns : Preschool and K (Brighter Child);By American Education Publishing, American;;;Amer Education Pub;5.29;June;1994
A Woman's Worth;By Williamson, Marianne;Cutting across class, race, religion, and gender, A Woman's Worth speaks powerfully and persuasively to a generation in need of healing, and in search of harmony.With A Woman's Worth, Marianne Williamson turns her charismatic voice—and the same empowering, spiritually enlightening wisdom that energized her landmark work, A Return to Love— to exploring the crucial role of women in the world today. Drawing deeply and candidly on her own experiences, the author illuminates her thought-provoking positions on such issues as beauty and age, relationships and sex, children and careers, and the reassurance and reassertion of the feminine in a patriarchal society.; Self-help , Personal Growth , Self-Esteem;Ballantine Books;4.99;March;1994
100 Greatest Pitchers;By Kelley, Brent;Lists the best pitchers of all time, briefly sketches each player's career, and summarizes their most notable accomplishments;;Crescent;10.99;December;1988
WHAT YOUR 3RD GRADER NEEDS TO KNOW (Core Knowledge Series);By Hirsch, E. D. (EDT);The author of the controversial Cultural Literacy presents the opinions of educators on what every third-grade child should know, offering information on such subjects as history, fine arts, geography, math, science, and technology.; Education , Home Schooling;Doubleday;8.79;July;1992
Zucchini Pumpkins and Squash OP (Artful Kitchen);By Stang, Kathleen Desmond;; Cooking , Vegetarian;Chronicle Books;5.29;June;1998
